EventName,ID,Name,dialog,Next ID,Count,CheckPoint
パターゴルフ,1,私,あれ、ここにパターゴルフ場があるんだ…ちょっと楽しそう。,2,0,0
パターゴルフ,2,パターゴルフの店主,おや、いらっしゃい！ちょうどいいタイミングだよ。よかったら、一緒にパターゴルフやってみないか？,3,0,0
パターゴルフ,3,私,えっ、いいんですか？それなら、やってみようかな。,4,0,0
パターゴルフ,4,パターゴルフの店主,もちろん！気楽に楽しんでくれればいいからね。,5,0,0
パターゴルフ,5,私,おお、結構難しいけど、すごく楽しい！こういうの久しぶりかも。,6,0,0
パターゴルフ,6,パターゴルフの店主,だろ？ここでやるとみんなリラックスできるんだよ。勝敗を気にせず楽しむのが一番さ。,7,0,0
パターゴルフ,7,私,確かに！なんだか気分もすごくスッキリする。,8,0,0
パターゴルフ,8,パターゴルフの店主,そう言ってもらえると嬉しいな。君と一緒にやると、こちらも楽しめるよ。,9,0,0
パターゴルフ,9,私,あ、写真撮ろうよ！いい思い出になるし。,10,0,0
パターゴルフ,10,パターゴルフの店主,いいね、撮ろう撮ろう！,11,0,0
パターゴルフ,11,,いい思い出（写真）を手に入れた!!,12,0,0
パターゴルフ,12,私,楽しかった！時間があっという間だったね。,13,0,0
パターゴルフ,13,パターゴルフの店主,ほんとだね。君とはすごく気が合う気がする。,14,0,0
パターゴルフ,14,私,私も！意外と盛り上がったし、またやりたいな。,15,0,0
パターゴルフ,15,パターゴルフの店主,それはいいね、次回もぜひ一緒にやろう！もし他にもおすすめの場所があったら、教えてくれよ。,16,0,0
パターゴルフ,16,私,もちろん、色々教えてあげる！,17,0,0
パターゴルフ,17,パターゴルフの店主,これからもよろしくな！,0,0,0
パターゴルフ,1,パターゴルフの店主,次回もぜひ一緒にやろう！もし他にもおすすめの場所があったら、教えてくれよ。,0,1,0
パターゴルフ,1,パターゴルフの店主,チェックポイント通過!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2,0,1
パターゴルフ,2,パターゴルフの店主,チェックポイント通過!!!!!!!!!!!!!!!!!!!!!!!!!!!!!チェックポイント通過!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,0,1
パターゴルフ,1,パターゴルフの店主,おめ,0,1,1
